,site,year,fileId,peakNums,Why,
2,ER09,1999,295,1,Not Obvious,
13,ER09,2010,1555,0,Not Obvious,
14,ER09,2011,1666,1,Above LEP,
50,ER30,1999,299,0,Wrong label,
54,ER30,2003,752,0,,
55,ER30,2004,868,1,label as 0,
66,ER31,1999,300,0,Wrong label,
82,ER32,1999,301,0,Wrong label,
87,ER32,2004,870,1,Label as 0,
98,ER36,1999,302,0,Wrong label,
114,ER37,1999,303,1,Double peak,
130,ER38,1999,304,0,Wrong label,??
146,ER42,1999,305,0,Wrong label,
274,ER73,1999,312,0,Wrong label,
280,ER73,2005,999,0,Not Obvious,
539,HU27,2008,1351,0,Strange Shape,
557,HU32,2010,1585,0,Not Obvious,
1378,ON49,1999,380,0,Wrong label,
1442,ON60,1999,386,0,Wrong label,
1453,ON60,2010,1632,1,Above LEP,
1459,ON63,2000,491,0,Not Obvious,
1466,ON63,2007,1290,1,Above LEP,
1468,ON63,2009,1520,1,Above LEP,
1815,SU12,2004,969,0,Not Obvious,
1831,SU13,2004,970,0,Limitation,
1832,SU13,2005,1076,0,Not Obvious,
1863,SU15,2004,972,1,Above LEP,
