"","site","mean_UHY","mean_LEP"
"1","SU01",36.8611111111111,14.5441176470588
"2","SU02",28.1944444444444,13.0735294117647
"3","SU03",33.9411764705882,12.5833333333333
"4","SU04",28.1764705882353,13.2142857142857
"5","SU05",39.25,13.59375
"6","SU06",46.2941176470588,12.5147058823529
"7","SU07",31.7941176470588,13.28125
"8","SU08",35.5588235294118,16.3676470588235
"9","SU09",33.09375,12.59375
"10","SU10",46.6666666666667,12.5277777777778
"11","SU11",27.2352941176471,10.2205882352941
"12","SU12",30.5833333333333,12.4166666666667
"13","SU13",30.6111111111111,13.1428571428571
"14","SU14",29.6944444444444,12.375
"15","SU15",41.6470588235294,12.4807692307692
"16","SU16",30.2777777777778,12.0555555555556
"17","SU17",30.2058823529412,11.45
"18","SU18",25.0277777777778,10.2142857142857
"19","SU19",23.6388888888889,8.63461538461539
"20","SU20",40.0666666666667,12.0833333333333
"21","SU21",47,15.4166666666667
"22","SU22",30.9666666666667,9.7
"23","SU23",48.25,21.9285714285714
