"","LEP","UHY","site","year"
"1",0.174773952891,0.0081790737726,"ER09",1998
"2",0.109225995594,NA,"ER09",1999
"3",0.262475141584,NA,"ER09",2000
"4",0.345615432893,1.00012003339,"ER09",2001
"5",0.006775,0.109975,"ER09",2002
"6",0.12861294193,NA,"ER09",2003
"7",0.333744430073,NA,"ER09",2004
"8",0.22267616216,NA,"ER09",2005
"9",0.00863142945147,NA,"ER09",2006
"10",-0.020937078425,NA,"ER09",2007
"11",NA,NA,"ER09",2008
"12",NA,NA,"ER09",2009
"13",NA,NA,"ER09",2010
"14",NA,NA,"ER09",2011
"15",NA,NA,"ER09",2012
"16",NA,NA,"ER09",2013
"17",0.857619007948,NA,"ER10",1998
"18",0.196316011921,NA,"ER10",1999
"19",0.0263427516343,0.270363856429,"ER10",2000
"20",0.24297149891,0.759036759582,"ER10",2001
"21",0.0277125,0.0422834893603,"ER10",2002
"22",0.263131762338,NA,"ER10",2003
"23",0.0082306565824,NA,"ER10",2004
"24",0.167351040659,NA,"ER10",2005
"25",0.0448212129372,NA,"ER10",2006
"26",0.0424488180829,NA,"ER10",2007
"27",NA,NA,"ER10",2008
"28",NA,NA,"ER10",2009
"29",NA,NA,"ER10",2010
"30",0.291653692635,NA,"ER10",2011
"31",NA,NA,"ER10",2012
"32",NA,NA,"ER10",2013
"33",0.928855388732,0.00305732233047,"ER15",1998
"34",0.00134653589285,NA,"ER15",1999
"35",0.731147163505,0.205970969555,"ER15",2000
"36",0.156689413793,1.30433819075,"ER15",2001
"37",0.0381625,0.1731,"ER15",2002
"38",0.420079766376,0.00771538059223,"ER15",2003
"39",0.00985874189203,0.429912323292,"ER15",2004
"40",0.28815562935,0.0550396165972,"ER15",2005
"41",0.05172679849,0.177770232565,"ER15",2006
"42",0.00767253071261,0.0138594370407,"ER15",2007
"43",0.220963825695,0.538729081641,"ER15",2009
"44",NA,0.283790564902,"ER15",2010
"45",0.322819134622,0.127076890313,"ER15",2011
"46",NA,NA,"ER15",2012
"47",NA,NA,"ER15",2013
"48",0.761398502757,0.071931712665,"ER30",1998
"49",-0.0312639636589,NA,"ER30",1999
"50",0.0231945653121,NA,"ER30",2000
"51",0.094357648827,0.850033672733,"ER30",2001
"52",0.062658050377,NA,"ER30",2002
"53",NA,NA,"ER30",2003
"54",0.148970146969,NA,"ER30",2004
"55",1.20699419967,NA,"ER30",2005
"56",0.274148121255,NA,"ER30",2006
"57",0.373584485717,NA,"ER30",2007
"58",0.0444393966976,NA,"ER30",2008
"59",NA,NA,"ER30",2009
"60",NA,NA,"ER30",2010
"61",NA,NA,"ER30",2011
"62",NA,NA,"ER30",2012
"63",NA,NA,"ER30",2013
"64",0.268481346558,2.11873341911,"ER31",1998
"65",0.0403598566208,NA,"ER31",1999
"66",0.0308697898348,NA,"ER31",2000
"67",0.755906720099,0.927590251247,"ER31",2001
"68",0.037975,NA,"ER31",2002
"69",NA,NA,"ER31",2003
"70",2.50467867711,NA,"ER31",2004
"71",0.187764975554,NA,"ER31",2005
"72",NA,NA,"ER31",2006
