"","p","alpha.year"
"SU01",0.58775096124326,-0.0251086435253563
"SU02",0.865840999229743,0.00873717234262088
"SU03",0.781863958397494,0.015622249742002
"SU04",0.482844254778967,0.0405200619195047
"SU05",0.719485006581914,0.0199750051599594
"SU06",0.95703785914985,0.00285625065410767
"SU07",0.628622459220211,0.0377065931372543
"SU08",0.60788422695765,0.0367821811915321
"SU09",0.627393819038467,0.0312619630709425
"SU10",0.673788967168386,0.0335692278911565
"SU11",0.579099111665265,0.0274204447933016
"SU12",0.724351942917039,0.022643326446281
"SU13",0.974469079337763,-0.00276582417582742
"SU14",0.96680680468391,-0.00212305022156478
"SU15",0.382474278157873,0.11160839027087
"SU16",0.865835447573821,0.00912661506707938
"SU17",0.846401011529303,0.0120251807072281
"SU18",0.944041606696367,0.00408748194014471
"SU19",0.634081127441932,0.0335653457172348
"SU20",0.700338188855061,0.0303394785365934
"SU21",0.979034840644002,0.00216517337807352
"SU22",0.647338527995369,0.0266161598196411
"SU23",0.37345458483162,0.0418559232722173
