"","p","alpha.year"
"SU01",0.979133472317679,0.0074819401444805
"SU02",0.881234691991444,-0.0327657378741014
"SU03",0.059485436856786,-0.490454076367391
"SU04",0.0922322363979594,-0.333849329205365
"SU05",0.513092840155895,-0.278637770897826
"SU06",0.471335592926207,0.314838435374158
"SU07",0.785682822459963,-0.0925245098039325
"SU08",0.800005594671303,0.0393586903003483
"SU09",0.126275650364906,-0.309402332361519
"SU10",0.54662344619282,-0.182549805636542
"SU11",0.697627056735905,0.105381438289597
"SU12",0.135086193426252,-0.350723140495865
"SU13",0.451939776437878,-0.277080062794358
"SU14",0.569057212414622,-0.169504643962851
"SU15",0.461039683382488,0.350469872857913
"SU16",0.0292501259337192,-0.514705882352948
"SU17",0.51190656266883,-0.152333593343715
"SU18",0.782161730582011,0.0601135190918416
"SU19",0.0347162736576814,-0.589525283797731
"SU20",0.661087676314474,-0.230487804878078
"SU21",0.529090361239239,-0.303160919540226
"SU22",0.882679520998877,-0.058453237410068
"SU23",0.0251320995847661,-1.10550070521864
