"","p","alpha.year"
"SU01",0.125742418658158,-0.517121455323679
"SU02",0.849587597579634,-0.0344042343673079
"SU03",0.902098252098547,-0.0360208461066968
"SU04",0.823744039629339,0.0585331452750383
"SU05",0.580872562240948,-0.186901960784315
"SU06",0.807250923106441,-0.0637755102040791
"SU07",0.838498485276669,-0.0543343653250775
"SU08",0.9765187287207,0.00980392156860433
"SU09",0.890534298437219,-0.0257352941176488
"SU10",0.64655046903444,-0.113519091847267
"SU11",0.123713200228476,-0.219387755102041
"SU12",0.595532569127954,-0.118679050567598
"SU13",0.611565832482285,-0.119363395225469
"SU14",0.788454395896034,0.0586468316406808
"SU15",0.404592628638543,-0.496261682242998
"SU16",0.581669712778249,-0.102683178534575
"SU17",0.330592198393511,-0.143769968051119
"SU18",0.457654073100788,0.145970394736848
"SU19",0.442449727101887,-0.199117100371746
"SU20",0.856955377710842,-0.0596026490066284
"SU21",0.169023058732894,-0.408903812824974
"SU22",0.238340516144431,0.154767496477213
"SU23",0.622660127640025,-0.203808180535976
