"","p","alpha.year"
"SU01",0.18901841080845,-0.708462332301336
"SU02",0.820252702963276,0.0675954592363242
"SU03",0.0581244641078406,-0.697035957240041
"SU04",0.939453019266207,0.0245098039215581
"SU05",0.141227984865366,-0.879772961816297
"SU06",0.983904622050091,0.0162172011661749
"SU07",0.717887665865659,-0.191176470588247
"SU08",0.465837523261519,-0.479166666666681
"SU09",0.718257382140162,0.231617647058835
"SU10",0.599403328666767,-0.311661506707942
"SU11",0.578714479421138,-0.213982021379975
"SU12",0.89115136100533,0.0634674922600679
"SU13",0.414541989466129,-0.333333333333336
"SU14",0.976296981750252,0.0139318885448983
"SU15",0.911162845212993,0.119670542635658
"SU16",0.403708104258176,-0.250773993808048
"SU17",0.688478547247933,-0.126820072802896
"SU18",0.553893268577035,0.196594427244591
"SU19",0.904087274681738,0.0314757481940233
"SU20",0.533760042451078,-0.485967356687908
"SU21",0.525867347148344,-0.538201487491544
"SU22",0.0646780670338608,0.723339160839106
"SU23",0.318509043141401,-0.349608475357034
