"","p","alpha.year"
"SU01",0.372600696363858,-0.312693498452014
"SU02",0.312918572589681,-0.202012383900928
"SU03",0.0529705208616552,-0.561163751214778
"SU04",0.492450583684094,-0.183210784313753
"SU05",0.708878633346435,-0.186532507739929
"SU06",0.636052503715075,0.187773323615167
"SU07",0.639988888871864,-0.174632352941187
"SU08",0.918933486755811,0.0312499999999678
"SU09",0.553848881511853,-0.126225490196079
"SU10",0.259429890431526,-0.458720330237359
"SU11",0.1466676186532,-0.295887998056366
"SU12",0.870780513458047,-0.0508255933952559
"SU13",0.695346463251598,-0.135190918472653
"SU14",0.555258125380716,0.132094943240459
"SU15",0.776504975427935,-0.148325027685493
"SU16",0.189933653794716,-0.245614035087723
"SU17",0.502320013509054,-0.12067732709307
"SU18",0.33794907421792,0.215428276573793
"SU19",0.453473742933435,-0.149122807017544
"SU20",0.715871977868461,-0.118978901273889
"SU21",0.983633713840206,-0.0159736308316378
"SU22",0.0905029782671038,0.793269230769139
"SU23",0.798240275858814,-0.21431593794073
